0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,idx
17.414036,0.0,25.724197,0.0,17.165737,29.658714,0.0,0.0,0.0,37.052776,0.0,37.40805,0.0,22.693167,0.0,0.0,0.0,34.405235,0.0,0.0,14.932683,15.939537,0.0,0.0,0.0,29.924437,18.544962,26.501787,37.375614,29.069927,26.115547,35.064995,0.0,34.91805,0.0,0.0,0.0,32.98625,0.0,33.87549,33.940918,12.311521,31.75004,28.456055,0.0,0.0,0.0,0.0,28.814331,0.0,33.79845,16.268055,0.0,0.0,30.201551,35.404877,0.0,0.0,0.0,0.0,0.0,0.0,29.766108,0.0,0.0,0.0,25.66608,34.466606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.755606,34.92439,37.280323,0.0,0.0,0.0,32.643936,36.095604,21.872393,0.0,27.837217,33.573936,0.0,0.0,35.140907,0.0,37.399303,0.0,0.0,0.0,0.0,0.0,9.982014,0.0,26.577627,33.354584,0.0,32.794197,0.0,33.9802,0.0,0.0,0.0,32.726696,29.136202,0.0,21.23758,13.841617,28.360926,0.0,0.0,28.474781,0.0,0.0,0.0,1.7119405,0.0,7.843631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.015034,24.40496,0.0,33.751232,0.0,0.0,0.0,0.0,35.049484,15.794074,0.0,34.52427,0.0,0.0,0.0,34.25136,0.0,33.144924,0.0,35.875954,0.0,0.0,0.0,26.22112,31.614086,32.879105,0.0,0.0,35.691463,11.8164,0.0,0.0,0.0,35.978138,0.0,0.0,36.80824,24.231379,35.38075,15.032894,0.0,0.0,0.0,0.0,28.416166,34.888813,35.92317,17.770857,0.0,0.0,0.0,36.96701,0.0,28.190653,35.81918,35.990456,0.0,31.537806,0.0,0.0,22.990911,0.0,0.0,35.844086,9.766484,0.0,0.0,0.0,0.0,0.0,28.432796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.358187,18.50113,0.0,30.23077,21.837631,0.0,0.0,33.301796,0.0,17.88124,20.540915,0.0,28.93758,35.09337,0.0,25.673115,24.196983,0.0,35.204124,0.0,31.442799,18.80501,0.0,29.245998,0.0,24.977652,0.0,0.0,0.0,0.0,0.0,29.260693,28.686138,0.0,0.0,0.0,27.294844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485939,3047
20.410646,0.0,28.141506,0.0,20.011662,31.707548,0.0,0.0,0.0,38.20929,0.0,38.516357,0.0,25.319138,0.0,0.0,0.0,36.0324,0.0,0.0,18.088448,19.002619,0.0,0.0,0.0,31.889423,21.465544,28.790297,38.347473,31.071547,28.445278,36.55246,0.0,36.260082,0.0,0.0,0.0,34.52236,0.0,35.364853,35.32777,15.763327,33.5336,30.52532,0.0,0.0,0.0,0.0,30.965193,0.0,35.34149,19.338972,0.0,0.0,32.292995,36.771233,0.0,0.0,0.0,0.0,0.0,0.0,31.898184,0.0,0.0,0.0,28.067762,35.99438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.854647,36.2745,38.419086,0.0,0.0,0.0,34.38371,37.246693,24.604342,0.0,30.06352,35.160244,0.0,0.0,36.441963,0.0,38.30952,0.0,0.0,0.0,0.0,0.0,13.538401,0.0,28.883408,35.054455,0.0,34.39446,0.0,35.51627,0.0,0.0,0.0,34.41406,31.31266,0.0,23.961823,17.03573,30.536488,0.0,0.0,30.60834,0.0,0.0,0.0,4.063217,0.0,11.242378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.937841,26.851362,0.0,35.312626,0.0,0.0,0.0,0.0,36.43431,18.844881,0.0,36.053104,0.0,0.0,0.0,35.588158,0.0,34.74785,0.0,37.17529,0.0,0.0,0.0,28.538626,33.3194,34.489727,0.0,0.0,36.993183,15.156092,0.0,0.0,0.0,37.291397,0.0,0.0,37.984867,26.83479,36.758453,18.15827,0.0,0.0,0.0,0.0,30.602736,36.202732,37.172577,20.74922,0.0,0.0,0.0,38.05995,0.0,30.288511,37.00853,37.25893,0.0,33.400974,0.0,0.0,25.522032,0.0,0.0,37.139915,13.320317,0.0,0.0,0.0,0.0,0.0,30.582912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.525038,21.389801,0.0,32.182217,24.545557,0.0,0.0,34.819294,0.0,20.847654,23.269709,0.0,31.119741,36.23548,0.0,28.060406,26.696312,0.0,36.476967,0.0,33.29501,21.645905,0.0,31.23259,0.0,27.457521,0.0,0.0,0.0,0.0,0.0,31.251595,30.77651,0.0,0.0,0.0,29.580137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.763737,3047
18.689796,0.0,26.526718,0.0,18.218948,30.339941,0.0,0.0,0.0,37.492214,0.0,37.91642,0.0,23.717682,0.0,0.0,0.0,34.92574,0.0,0.0,16.177052,17.094677,0.0,0.0,0.0,30.602196,19.7324,27.36116,37.643234,29.707367,26.821945,35.608715,0.0,35.338245,0.0,0.0,0.0,33.514046,0.0,34.274845,34.405464,13.712811,32.28864,29.143314,0.0,0.0,0.0,0.0,29.581728,0.0,34.30361,17.395649,0.0,0.0,30.849234,35.83944,0.0,0.0,0.0,0.0,0.0,0.0,30.430325,0.0,0.0,0.0,26.406042,35.029556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.449951,35.490444,37.60882,0.0,0.0,0.0,33.15205,36.470078,22.89202,0.0,28.503666,34.130432,0.0,0.0,35.681572,0.0,37.848145,0.0,0.0,0.0,0.0,0.0,11.365869,0.0,27.42541,33.897976,0.0,33.421967,0.0,34.600918,0.0,0.0,0.0,33.340324,29.862474,0.0,22.268131,14.992613,29.136831,0.0,0.0,29.287088,0.0,0.0,0.0,3.1237366,0.0,9.250121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.20957,25.293245,0.0,34.23307,0.0,0.0,0.0,0.0,35.458817,16.928253,0.0,35.127193,0.0,0.0,0.0,34.741016,0.0,33.694454,0.0,36.38246,0.0,0.0,0.0,27.02843,32.205585,33.38865,0.0,0.0,36.197384,13.103591,0.0,0.0,0.0,36.40439,0.0,0.0,37.301033,25.20783,35.871548,16.36918,0.0,0.0,0.0,0.0,29.096605,35.433258,36.428547,18.963623,0.0,0.0,0.0,37.454746,0.0,28.888664,36.21304,36.54759,0.0,32.108353,0.0,0.0,24.010609,0.0,0.0,36.27603,11.136964,0.0,0.0,0.0,0.0,0.0,29.221725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.074099,19.68135,0.0,30.823757,22.846539,0.0,0.0,33.832184,0.0,19.08433,21.641937,0.0,29.63442,35.467365,0.0,26.515007,25.093294,0.0,35.630726,0.0,32.05253,19.940556,0.0,29.939152,0.0,25.910227,0.0,0.0,0.0,0.0,0.0,29.913033,29.47583,0.0,0.0,0.0,27.959038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.665124,3047
20.97975,0.0,34.05954,0.0,20.624832,40.121464,0.0,0.0,0.0,52.253292,0.0,53.222866,0.0,29.047215,0.0,0.0,0.0,47.84491,0.0,0.0,16.965214,18.540329,0.0,0.0,0.0,40.694786,22.530869,35.294178,53.4768,39.300995,34.420906,48.896908,0.0,49.06377,0.0,0.0,0.0,45.706406,0.0,47.15796,47.492973,12.41197,43.79205,38.238888,0.0,0.0,0.0,0.0,38.933193,0.0,47.12915,19.2703,0.0,0.0,40.902546,49.873455,0.0,0.0,0.0,0.0,0.0,0.0,40.078865,0.0,0.0,0.0,33.570274,47.989094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.29314,48.97325,52.800167,0.0,0.0,0.0,45.11973,51.084747,27.812565,0.0,37.017605,46.56443,0.0,0.0,49.597008,0.0,53.596233,0.0,0.0,0.0,0.0,0.0,8.707812,0.0,35.224106,46.028797,0.0,45.43558,0.0,47.35453,0.0,0.0,0.0,45.17997,39.041832,0.0,26.792778,15.090581,37.90625,0.0,0.0,38.273884,0.0,0.0,0.0,0.0,0.0,5.272496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.765627,32.093506,0.0,46.59436,0.0,0.0,0.0,0.0,49.036236,18.282148,0.0,48.0628,0.0,0.0,0.0,48.04304,0.0,45.968193,0.0,50.442333,0.0,0.0,0.0,34.571507,43.422684,45.41158,0.0,0.0,50.21501,11.936776,0.0,0.0,0.0,50.551186,0.0,0.0,52.326508,31.47524,49.513237,17.20026,0.0,0.0,0.0,0.0,37.95262,49.044132,50.54949,21.53907,0.0,0.0,0.0,52.57264,0.0,37.907177,50.541737,50.738422,0.0,43.10512,0.0,0.0,29.853252,0.0,0.0,50.33428,8.23236,0.0,0.0,0.0,0.0,0.0,38.224533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.867237,22.749628,0.0,41.005623,27.912952,0.0,0.0,46.252983,0.0,21.566923,25.78253,0.0,38.86271,49.576286,0.0,33.728474,31.680994,0.0,49.70509,0.0,42.94435,23.042639,0.0,39.52712,0.0,32.846867,0.0,0.0,0.0,0.0,0.0,39.67437,38.550537,0.0,0.0,0.0,36.392925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9904604,2179
10.60214,0.0,20.801596,0.0,10.278797,25.625923,0.0,0.0,0.0,35.16368,0.0,35.95922,0.0,17.080248,0.0,0.0,0.0,31.798817,0.0,0.0,7.5081253,8.634655,0.0,0.0,0.0,25.995295,11.838469,21.750162,36.024723,24.981104,21.158813,32.63567,0.0,32.667667,0.0,0.0,0.0,30.027859,0.0,31.11213,31.594856,4.298828,28.554441,24.26837,0.0,0.0,0.0,0.0,24.71913,0.0,31.065588,9.101768,0.0,0.0,26.228655,33.22959,0.0,0.0,0.0,0.0,0.0,0.0,25.533695,0.0,0.0,0.0,20.410198,31.861782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.791573,32.761574,35.511417,0.0,0.0,0.0,29.605003,34.364143,15.998238,0.0,23.273119,30.745739,0.0,0.0,33.18018,0.0,36.19948,0.0,0.0,0.0,0.0,0.0,1.8563454,0.0,21.721506,30.328503,0.0,30.071886,0.0,31.368818,0.0,0.0,0.0,29.546757,24.884907,0.0,15.14879,6.2219033,24.032066,0.0,0.0,24.322575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.255725,19.189888,0.0,30.728651,0.0,0.0,0.0,0.0,32.69353,8.597157,0.0,32.00155,0.0,0.0,0.0,31.885544,0.0,30.314219,0.0,33.897648,0.0,0.0,0.0,21.29903,28.372225,29.886595,0.0,0.0,33.58572,3.9637873,0.0,0.0,0.0,33.738605,0.0,0.0,35.09282,18.935617,33.07989,7.6974335,0.0,0.0,0.0,0.0,23.847109,32.74566,33.90124,10.97292,0.0,0.0,0.0,35.400986,0.0,23.890432,33.82635,34.077553,0.0,27.995575,0.0,0.0,17.538599,0.0,0.0,33.7165,1.6009938,0.0,0.0,0.0,0.0,0.0,24.176817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.883091,11.93617,0.0,26.40742,16.06123,0.0,0.0,30.655256,0.0,11.143728,14.419758,0.0,24.725187,33.082123,0.0,20.646048,18.927298,0.0,33.352333,0.0,27.932777,12.136778,0.0,25.23963,0.0,19.82368,0.0,0.0,0.0,0.0,0.0,25.282146,24.539473,0.0,0.0,0.0,22.735834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818505,2179
0.87036675,0.0,7.5650306,0.0,0.6777313,10.851241,0.0,0.0,0.0,16.334814,0.0,16.79261,0.0,5.048493,0.0,0.0,0.0,14.631133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.074091,1.5084641,8.334836,16.78222,10.338075,7.934429,15.061664,0.0,15.026695,0.0,0.0,0.0,13.700042,0.0,14.187738,14.330303,0.0,12.634701,9.963332,0.0,0.0,0.0,0.0,10.3241205,0.0,14.19076,0.026222527,0.0,0.0,11.477085,15.304065,0.0,0.0,0.0,0.0,0.0,0.0,10.852302,0.0,0.0,0.0,7.536314,14.692133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.971201,15.080706,16.53661,0.0,0.0,0.0,13.293857,15.907271,4.39892,0.0,9.4610815,14.076788,0.0,0.0,15.290424,0.0,16.82765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.300831,13.873094,0.0,13.523776,0.0,14.4403715,0.0,0.0,0.0,13.374216,10.493586,0.0,4.031118,0.0,9.930266,0.0,0.0,10.002712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2198586,6.402306,0.0,14.08014,0.0,0.0,0.0,0.0,15.056745,0.0,0.0,14.803143,0.0,0.0,0.0,14.55733,0.0,13.766367,0.0,15.725114,0.0,0.0,0.0,7.9950757,12.593006,13.39421,0.0,0.0,15.632188,0.0,0.0,0.0,0.0,15.615697,0.0,0.0,16.34584,6.317443,15.293706,0.0,0.0,0.0,0.0,0.0,9.837659,15.098726,15.67943,1.076917,0.0,0.0,0.0,16.510235,0.0,9.838057,15.595409,15.811442,0.0,12.395086,0.0,0.0,5.356908,0.0,0.0,15.650468,0.0,0.0,0.0,0.0,0.0,0.0,10.065333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.872521,1.5313505,0.0,11.4296665,4.509439,0.0,0.0,13.951419,0.0,1.1728649,3.515108,0.0,10.443434,15.167969,0.0,7.561002,6.257129,0.0,15.291901,0.0,12.409014,1.6671458,0.0,10.579513,0.0,6.9572783,0.0,0.0,0.0,0.0,0.0,10.529664,10.098264,0.0,0.0,0.0,9.111971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2179
25.436403,0.0,39.288406,0.0,25.018517,45.616016,0.0,0.0,0.0,58.866673,0.0,59.68497,0.0,34.176907,0.0,0.0,0.0,53.861004,0.0,0.0,21.13924,22.800205,0.0,0.0,0.0,46.1912,27.431253,40.389122,59.846756,44.707237,39.68655,55.15237,0.0,55.12051,0.0,0.0,0.0,51.433655,0.0,53.115303,53.56087,15.9464445,49.377754,43.677525,0.0,0.0,0.0,0.0,44.303154,0.0,52.971947,23.419199,0.0,0.0,46.429913,55.981384,0.0,0.0,0.0,0.0,0.0,0.0,45.642822,0.0,0.0,0.0,38.68013,53.98195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.816395,55.342678,59.225388,0.0,0.0,0.0,50.91137,57.361744,32.676826,0.0,42.357883,52.414883,0.0,0.0,55.72619,0.0,60.00973,0.0,0.0,0.0,0.0,0.0,11.653716,0.0,40.517735,51.905907,0.0,51.393547,0.0,53.218422,0.0,0.0,0.0,51.030914,44.59542,0.0,31.525314,18.95132,43.342216,0.0,0.0,43.685658,0.0,0.0,0.0,0.0,0.0,7.611713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.513378,37.01271,0.0,52.630604,0.0,0.0,0.0,0.0,55.144928,22.638742,0.0,54.16648,0.0,0.0,0.0,54.080906,0.0,51.840378,0.0,56.80664,0.0,0.0,0.0,39.831646,49.12707,51.450665,0.0,0.0,56.325912,15.26469,0.0,0.0,0.0,56.82779,0.0,0.0,58.559525,36.6145,55.81743,21.277678,0.0,0.0,0.0,0.0,43.38219,55.20001,56.781624,26.12834,0.0,0.0,0.0,58.90304,0.0,43.224407,56.869038,57.034607,0.0,48.72675,0.0,0.0,34.776215,0.0,0.0,56.612225,11.150794,0.0,0.0,0.0,0.0,0.0,43.506603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.124783,27.43127,0.0,46.5144,32.74279,0.0,0.0,52.27546,0.0,26.243378,30.426165,0.0,44.322086,55.602497,0.0,39.00905,36.73823,0.0,55.871395,0.0,48.663338,27.821016,0.0,45.130726,0.0,37.90265,0.0,0.0,0.0,0.0,0.0,45.133556,44.076214,0.0,0.0,0.0,41.504555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.154877,2270
21.045444,0.0,35.036068,0.0,20.673037,41.52471,0.0,0.0,0.0,54.841217,0.0,55.725243,0.0,29.90694,0.0,0.0,0.0,49.842644,0.0,0.0,16.874844,18.493488,0.0,0.0,0.0,42.120625,23.05853,36.20498,55.931202,40.60439,35.518177,51.17758,0.0,51.216217,0.0,0.0,0.0,47.474525,0.0,49.16641,49.570217,11.881937,45.33201,39.61738,0.0,0.0,0.0,0.0,40.221886,0.0,49.004055,19.078594,0.0,0.0,42.383133,51.983734,0.0,0.0,0.0,0.0,0.0,0.0,41.60096,0.0,0.0,0.0,34.46193,49.975193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.77544,51.36092,55.30984,0.0,0.0,0.0,46.872227,53.396908,28.347946,0.0,38.28066,48.45631,0.0,0.0,51.754997,0.0,56.028538,0.0,0.0,0.0,0.0,0.0,7.839424,0.0,36.310062,47.928154,0.0,47.446705,0.0,49.270546,0.0,0.0,0.0,46.981697,40.537846,0.0,27.26728,14.754009,39.26869,0.0,0.0,39.600945,0.0,0.0,0.0,0.0,0.0,4.410869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.107265,32.705585,0.0,48.62503,0.0,0.0,0.0,0.0,51.111465,18.302212,0.0,50.196747,0.0,0.0,0.0,50.05164,0.0,47.84422,0.0,52.82599,0.0,0.0,0.0,35.693687,45.12562,47.413174,0.0,0.0,52.461666,11.307514,0.0,0.0,0.0,52.8099,0.0,0.0,54.5924,32.298267,51.787098,16.974194,0.0,0.0,0.0,0.0,39.26986,51.268852,52.795933,21.751514,0.0,0.0,0.0,54.92182,0.0,39.18617,52.921635,53.04976,0.0,44.683292,0.0,0.0,30.441877,0.0,0.0,52.67516,7.435526,0.0,0.0,0.0,0.0,0.0,39.42984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.005707,23.062363,0.0,42.48555,28.443148,0.0,0.0,48.303093,0.0,21.88503,26.162783,0.0,40.27868,51.708904,0.0,34.833225,32.40171,0.0,51.910725,0.0,44.7319,23.435013,0.0,41.156837,0.0,33.592335,0.0,0.0,0.0,0.0,0.0,41.07528,39.94653,0.0,0.0,0.0,37.44654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6588583,2270
20.487581,0.0,35.69455,0.0,19.925587,42.63718,0.0,0.0,0.0,57.274555,0.0,58.3434,0.0,30.203396,0.0,0.0,0.0,51.949615,0.0,0.0,15.964199,17.7852,0.0,0.0,0.0,43.254803,22.696104,36.907463,58.614307,41.560684,36.20789,53.310093,0.0,53.333332,0.0,0.0,0.0,49.209587,0.0,50.950165,51.57181,10.641775,46.965046,40.54861,0.0,0.0,0.0,0.0,41.38401,0.0,50.678314,18.376213,0.0,0.0,43.581703,54.123596,0.0,0.0,0.0,0.0,0.0,0.0,42.649677,0.0,0.0,0.0,34.999268,51.866432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.92804,53.64205,57.741165,0.0,0.0,0.0,48.55494,55.802143,28.392128,0.0,39.14787,50.236942,0.0,0.0,53.974995,0.0,58.750298,0.0,0.0,0.0,0.0,0.0,6.4042068,0.0,36.895863,49.652035,0.0,49.19336,0.0,51.015846,0.0,0.0,0.0,48.532364,41.542767,0.0,27.191103,13.579884,40.13558,0.0,0.0,40.636314,0.0,0.0,0.0,0.0,0.0,2.590152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.614859,33.048267,0.0,50.368114,0.0,0.0,0.0,0.0,53.279694,17.594955,0.0,52.29726,0.0,0.0,0.0,52.113308,0.0,49.486958,0.0,55.10101,0.0,0.0,0.0,36.12236,46.600822,49.20661,0.0,0.0,54.75823,9.79189,0.0,0.0,0.0,55.001926,0.0,0.0,57.07486,32.768063,53.956203,16.049381,0.0,0.0,0.0,0.0,40.06437,53.399666,55.089397,21.247223,0.0,0.0,0.0,57.311165,0.0,40.080242,55.22817,55.332207,0.0,46.194786,0.0,0.0,30.707579,0.0,0.0,54.935303,5.8458867,0.0,0.0,0.0,0.0,0.0,40.190395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.928364,22.7674,0.0,43.643753,28.599379,0.0,0.0,50.14782,0.0,21.436344,25.957516,0.0,41.297646,53.896572,0.0,35.335144,32.995853,0.0,54.203476,0.0,46.052322,23.011452,0.0,42.167725,0.0,34.17368,0.0,0.0,0.0,0.0,0.0,42.16172,40.879765,0.0,0.0,0.0,38.32746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.111188,3613
28.277319,0.0,47.30437,0.0,27.659817,55.967495,0.0,0.0,0.0,74.03144,0.0,75.2284,0.0,40.29178,0.0,0.0,0.0,67.533646,0.0,0.0,22.538212,24.952633,0.0,0.0,0.0,56.670525,31.205662,48.818615,75.91059,54.735516,48.07096,69.11133,0.0,69.092445,0.0,0.0,0.0,63.94023,0.0,66.356186,66.897354,15.608499,61.273125,53.22837,0.0,0.0,0.0,0.0,54.317074,0.0,65.96838,25.742037,0.0,0.0,57.016308,70.248566,0.0,0.0,0.0,0.0,0.0,0.0,55.936028,0.0,0.0,0.0,46.47383,67.392525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.234894,69.36709,74.73512,0.0,0.0,0.0,63.318504,72.1275,38.182724,0.0,51.498688,65.241684,0.0,0.0,69.81047,0.0,75.81121,0.0,0.0,0.0,0.0,0.0,10.05014,0.0,48.825775,64.51595,0.0,63.89753,0.0,66.264015,0.0,0.0,0.0,63.167465,54.607944,0.0,36.61787,19.591084,52.726612,0.0,0.0,53.174114,0.0,0.0,0.0,0.0,0.0,4.5397573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.617321,43.904663,0.0,65.530205,0.0,0.0,0.0,0.0,69.213554,24.72828,0.0,67.638306,0.0,0.0,0.0,67.684456,0.0,64.32334,0.0,71.150024,0.0,0.0,0.0,47.891277,60.767124,63.997738,0.0,0.0,70.68203,14.61157,0.0,0.0,0.0,71.29923,0.0,0.0,73.78034,43.521027,69.86019,22.660183,0.0,0.0,0.0,0.0,52.768833,69.051056,71.287964,29.247852,0.0,0.0,0.0,74.01472,0.0,52.678967,71.56512,71.639175,0.0,60.297527,0.0,0.0,40.911877,0.0,0.0,71.20792,9.178182,0.0,0.0,0.0,0.0,0.0,52.851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.537918,31.071047,0.0,57.183945,38.264717,0.0,0.0,65.116196,0.0,29.409035,35.093292,0.0,54.318108,69.74466,0.0,46.715664,43.963367,0.0,70.25834,0.0,60.18603,31.391487,0.0,55.220055,0.0,45.22552,0.0,0.0,0.0,0.0,0.0,55.25052,53.581417,0.0,0.0,0.0,50.386425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.720844,3613
